,model,split,auc,pr,accuracy,precision,recall,specificity,f1-score,target,window
98,vitals,train,0.888888888888889,0.7,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,24h
99,vitals,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,24h
100,img,train,0.5416666666666666,0.23333333333333334,0.6666666666666666,0.25,0.3333333333333333,0.75,0.28571428571428575,aleak,24h
101,img,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
102,static,train,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
103,static,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
104,late,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,24h
105,late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,24h
106,ft_late,train,0.9166666666666666,0.6388888888888888,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,aleak,24h
107,ft_late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,24h
108,mid,train,0.8055555555555556,0.4444444444444445,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,24h
109,mid,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
110,ft_mid,train,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
111,ft_mid,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
112,lab,train,0.7500000000000001,0.3873015873015873,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,aleak,24h
113,lab,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,aleak,24h
114,vitals,train,0.8611111111111112,0.6984126984126984,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,aleak,24h
115,vitals,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,24h
116,img,train,0.6805555555555556,0.2785714285714286,0.6,0.2857142857142857,0.6666666666666666,0.5833333333333334,0.4,aleak,24h
117,img,test,0.125,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
118,static,train,0.5833333333333333,0.5158730158730158,0.8,0.0,0.0,1.0,0.0,aleak,24h
119,static,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,24h
120,late,train,0.8333333333333333,0.6805555555555556,0.8,0.5,0.3333333333333333,0.9166666666666666,0.4,aleak,24h
121,late,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
122,ft_late,train,0.888888888888889,0.8095238095238095,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,aleak,24h
123,ft_late,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,24h
124,mid,train,0.9722222222222222,0.9166666666666665,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,aleak,24h
125,mid,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
126,ft_mid,train,0.9444444444444444,0.6944444444444444,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,aleak,24h
127,ft_mid,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,24h
128,lab,train,0.9166666666666667,0.7555555555555555,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,48h
129,lab,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
130,vitals,train,0.9444444444444444,0.8666666666666667,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,48h
131,vitals,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,48h
132,img,train,0.41666666666666663,0.1888888888888889,0.8,0.0,0.0,1.0,0.0,aleak,48h
133,img,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
134,static,train,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,48h
135,static,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,48h
136,late,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,48h
137,late,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,48h
138,ft_late,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,48h
139,ft_late,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,48h
140,mid,train,0.9583333333333333,0.75,0.8,0.0,0.0,1.0,0.0,aleak,48h
141,mid,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,48h
142,ft_mid,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,48h
143,ft_mid,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,48h
144,lab,train,0.8333333333333333,0.7777777777777777,0.8666666666666667,1.0,0.3333333333333333,1.0,0.5,aleak,48h
145,lab,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
146,vitals,train,0.7777777777777778,0.5,0.8,0.5,0.3333333333333333,0.9166666666666666,0.4,aleak,48h
147,vitals,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,48h
148,img,train,0.49999999999999994,0.29393939393939394,0.8,0.0,0.0,1.0,0.0,aleak,48h
149,img,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,48h
150,static,train,0.5277777777777778,0.29365079365079366,0.6,0.2,0.3333333333333333,0.6666666666666666,0.25,aleak,48h
151,static,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,48h
152,late,train,0.9166666666666666,0.8333333333333333,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,48h
153,late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
154,ft_late,train,0.9444444444444444,0.8666666666666667,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,48h
155,ft_late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
156,mid,train,0.9166666666666666,0.8333333333333333,0.7333333333333333,0.4,0.6666666666666666,0.75,0.5,aleak,48h
157,mid,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
158,ft_mid,train,0.9722222222222222,0.9166666666666665,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,aleak,48h
159,ft_mid,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
160,lab,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,48h
161,lab,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,aleak,48h
162,vitals,train,0.8611111111111112,0.5333333333333333,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,48h
163,vitals,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,48h
164,img,train,0.4027777777777778,0.18282828282828284,0.8,0.0,0.0,1.0,0.0,aleak,48h
165,img,test,0.875,0.5,0.8,0.0,0.0,1.0,0.0,aleak,48h
166,static,train,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,48h
167,static,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,aleak,48h
168,late,train,0.9722222222222222,0.9166666666666665,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,aleak,48h
169,late,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,48h
170,ft_late,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,48h
171,ft_late,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,aleak,48h
172,mid,train,1.0,1.0,0.9333333333333333,1.0,0.6666666666666666,1.0,0.8,aleak,48h
173,mid,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,48h
174,ft_mid,train,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
175,ft_mid,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,aleak,48h
176,lab,train,0.6944444444444444,0.35555555555555557,0.5333333333333333,0.25,0.6666666666666666,0.5,0.36363636363636365,aleak,48h
177,lab,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,aleak,48h
178,vitals,train,0.888888888888889,0.7,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,48h
179,vitals,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
180,img,train,0.5138888888888888,0.24444444444444446,0.8,0.0,0.0,1.0,0.0,aleak,48h
181,img,test,0.375,0.25,0.4,0.0,0.0,0.5,0.0,aleak,48h
182,static,train,0.4444444444444444,0.22186147186147187,0.4,0.2,0.6666666666666666,0.3333333333333333,0.30769230769230765,aleak,48h
183,static,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
184,late,train,0.888888888888889,0.7,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,48h
185,late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
186,ft_late,train,0.9444444444444444,0.8666666666666667,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,48h
187,ft_late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
188,mid,train,0.888888888888889,0.5888888888888889,0.8,0.5,0.6666666666666666,0.8333333333333334,0.5714285714285715,aleak,48h
189,mid,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,aleak,48h
190,ft_mid,train,0.9444444444444444,0.6944444444444444,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.6666666666666666,aleak,48h
191,ft_mid,test,0.75,0.3333333333333333,0.8,0.0,0.0,1.0,0.0,aleak,48h
192,lab,train,0.6599999999999999,0.6696503496503496,0.7333333333333333,1.0,0.2,1.0,0.33333333333333337,pneu,0h
193,lab,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,pneu,0h
194,vitals,train,0.8200000000000001,0.5961904761904762,0.8,0.6666666666666666,0.8,0.8,0.7272727272727272,pneu,0h
195,vitals,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,pneu,0h
196,img,train,0.57,0.3790476190476191,0.6,0.4,0.4,0.7,0.4000000000000001,pneu,0h
197,img,test,0.125,0.2,0.8,0.0,0.0,1.0,0.0,pneu,0h
198,static,train,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,pneu,0h
199,static,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,pneu,0h
200,late,train,0.8200000000000001,0.5961904761904762,0.8,0.6666666666666666,0.8,0.8,0.7272727272727272,pneu,0h
201,late,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,pneu,0h
202,ft_late,train,0.98,0.9666666666666666,0.8666666666666667,0.8,0.8,0.9,0.8000000000000002,pneu,0h
203,ft_late,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,pneu,0h
204,mid,train,0.9,0.7142857142857143,0.6666666666666666,0.0,0.0,1.0,0.0,pneu,0h
205,mid,test,0.875,0.5,0.8,0.0,0.0,1.0,0.0,pneu,0h
206,ft_mid,train,0.9,0.7142857142857143,0.6666666666666666,0.0,0.0,1.0,0.0,pneu,0h
207,ft_mid,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,pneu,0h
208,lab,train,0.72,0.696923076923077,0.7333333333333333,1.0,0.2,1.0,0.33333333333333337,pneu,0h
209,lab,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,pneu,0h
210,vitals,train,0.78,0.711111111111111,0.6666666666666666,0.5,0.8,0.6,0.6153846153846154,pneu,0h
211,vitals,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,pneu,0h
212,img,train,0.45,0.3128205128205128,0.6666666666666666,0.0,0.0,1.0,0.0,pneu,0h
213,img,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,pneu,0h
214,static,train,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,pneu,0h
215,static,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,pneu,0h
216,late,train,0.78,0.711111111111111,0.6666666666666666,0.5,0.8,0.6,0.6153846153846154,pneu,0h
217,late,test,0.75,0.5,0.6,0.0,0.0,0.75,0.0,pneu,0h
218,ft_late,train,0.92,0.8761904761904762,0.8,0.6666666666666666,0.8,0.8,0.7272727272727272,pneu,0h
219,ft_late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,pneu,0h
220,mid,train,0.8500000000000001,0.6544444444444444,0.8,0.75,0.6,0.9,0.6666666666666665,pneu,0h
221,mid,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,pneu,0h
222,ft_mid,train,0.65,0.4166666666666667,0.6666666666666666,0.0,0.0,1.0,0.0,pneu,0h
223,ft_mid,test,0.625,0.25,0.8,0.0,0.0,1.0,0.0,pneu,0h
