,model,split,auc,pr,accuracy,precision,recall,specificity,f1-score,target,window
284,mid,train,0.98,0.9666666666666666,0.8666666666666667,0.8,0.8,0.9,0.8000000000000002,pneu,24h
285,mid,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,pneu,24h
286,ft_mid,train,0.9,0.7142857142857143,0.6666666666666666,0.0,0.0,1.0,0.0,pneu,24h
287,ft_mid,test,0.875,0.5,0.8,0.0,0.0,1.0,0.0,pneu,24h
288,lab,train,0.9090909090909091,0.7708333333333333,0.8,0.6,0.75,0.8181818181818182,0.6666666666666665,pneu,24h
289,lab,test,0.0,0.325,0.6,0.0,0.0,1.0,0.0,pneu,24h
290,vitals,train,0.9090909090909091,0.7708333333333333,0.8,0.6,0.75,0.8181818181818182,0.6666666666666665,pneu,24h
291,vitals,test,0.16666666666666669,0.3666666666666667,0.6,0.0,0.0,1.0,0.0,pneu,24h
292,img,train,0.5113636363636364,0.2712121212121212,0.7333333333333333,0.0,0.0,1.0,0.0,pneu,24h
293,img,test,0.5833333333333334,0.45,0.6,0.0,0.0,1.0,0.0,pneu,24h
294,static,train,0.5227272727272727,0.4916666666666667,0.7333333333333333,0.0,0.0,1.0,0.0,pneu,24h
295,static,test,0.33333333333333337,0.41666666666666663,0.4,0.3333333333333333,0.5,0.3333333333333333,0.4,pneu,24h
296,late,train,0.9318181818181818,0.8041666666666667,0.8666666666666667,0.75,0.75,0.9090909090909091,0.75,pneu,24h
297,late,test,0.0,0.325,0.6,0.0,0.0,1.0,0.0,pneu,24h
298,ft_late,train,1.0,1.0,0.9333333333333333,1.0,0.75,1.0,0.8571428571428571,pneu,24h
299,ft_late,test,0.16666666666666669,0.3666666666666667,0.6,0.0,0.0,1.0,0.0,pneu,24h
300,mid,train,0.9545454545454545,0.9166666666666666,0.8,0.6,0.75,0.8181818181818182,0.6666666666666665,pneu,24h
301,mid,test,0.0,0.325,0.6,0.0,0.0,1.0,0.0,pneu,24h
302,ft_mid,train,0.9204545454545454,0.7291666666666666,0.8,0.6,0.75,0.8181818181818182,0.6666666666666665,pneu,24h
303,ft_mid,test,0.0,0.325,0.6,0.0,0.0,1.0,0.0,pneu,24h
304,lab,train,0.7954545454545454,0.5416666666666666,0.6666666666666666,0.42857142857142855,0.75,0.6363636363636364,0.5454545454545454,pneu,24h
305,lab,test,0.6666666666666667,0.5833333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,24h
306,vitals,train,0.9545454545454545,0.9166666666666666,0.8,0.6,0.75,0.8181818181818182,0.6666666666666665,pneu,24h
307,vitals,test,0.8333333333333334,0.8333333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,24h
308,img,train,0.5113636363636364,0.32976190476190476,0.7333333333333333,0.0,0.0,1.0,0.0,pneu,24h
309,img,test,0.4166666666666667,0.41666666666666663,0.4,0.3333333333333333,0.5,0.3333333333333333,0.4,pneu,24h
310,static,train,0.20454545454545453,0.20869963369963368,0.7333333333333333,0.0,0.0,1.0,0.0,pneu,24h
311,static,test,0.6666666666666667,0.75,0.6,0.0,0.0,1.0,0.0,pneu,24h
312,late,train,1.0,1.0,0.9333333333333333,1.0,0.75,1.0,0.8571428571428571,pneu,24h
313,late,test,0.8333333333333334,0.8333333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,24h
314,ft_late,train,1.0,1.0,0.9333333333333333,1.0,0.75,1.0,0.8571428571428571,pneu,24h
315,ft_late,test,0.8333333333333334,0.8333333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,24h
316,mid,train,1.0,1.0,0.9333333333333333,1.0,0.75,1.0,0.8571428571428571,pneu,24h
317,mid,test,0.6666666666666667,0.5833333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,24h
318,ft_mid,train,1.0,1.0,0.9333333333333333,1.0,0.75,1.0,0.8571428571428571,pneu,24h
319,ft_mid,test,0.6666666666666667,0.5833333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,24h
320,lab,train,0.72,0.5422222222222222,0.6,0.4444444444444444,0.8,0.5,0.5714285714285714,pneu,48h
321,lab,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,pneu,48h
322,vitals,train,0.8400000000000001,0.6961904761904762,0.8,0.6666666666666666,0.8,0.8,0.7272727272727272,pneu,48h
323,vitals,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,pneu,48h
324,img,train,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,pneu,48h
325,img,test,0.5,0.2,0.8,0.0,0.0,1.0,0.0,pneu,48h
326,static,train,0.5,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0,pneu,48h
327,static,test,0.625,0.25,0.8,0.0,0.0,1.0,0.0,pneu,48h
328,late,train,0.8800000000000001,0.7961904761904761,0.8,0.6666666666666666,0.8,0.8,0.7272727272727272,pneu,48h
329,late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,pneu,48h
330,ft_late,train,1.0,1.0,0.9333333333333333,1.0,0.8,1.0,0.888888888888889,pneu,48h
331,ft_late,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,pneu,48h
